Round,Cmp.No,Company ,SmallCarSold,MediumCarSold,MediumCarOld2,LargeCarSold,LargeCarSold2,LuxuryCarSold,LuxuryCarSold2,MarketShareSmall,MarketShareMedium,MarketShareMedium2,MarketShareLarge,MarketShareLarge2,MarketShareLuxury,MarketShareLuxury2,SmallPrice,MediumPrice,MediumPrice2,LargePrice,LargePrice2,LuxuryPrice,LuxuryPrice2,Workforce,ProductivityIndex,WeeklySalary,SalesPerEmployee,AutomationExpenditure(M),TotalAutomationExpenditure(M),PromotionBudget(M),Profit(M),ROSF,SharePrice,EarningsPerShare,Dividend,PERatio
1,1,RainbowSix,,54000,,18000,,,,,1.23%,,0.72%,,,,,"£46,950.00",,"£56,465.00",,,,664,2.6,£700.00,"£53,48,900.60",£129.80,£129.80,£657.50,£568.56,53.21%,£560.84,£113.71,£0.00,4.93
1,2,MerseyAuto,,0,,,,5000,,,0.00%,,,,0.83%,,,"£55,000.00",,,,"£1,20,000.00",,1900,0.4,£700.00,"£3,15,789.47",£7.00,£7.00,£305.00,-£694.24,0.00%,£1.00,-£138.85,£0.40,-0.01
1,3,REV,,,,7000,,1862,,,,,0.28%,,0.31%,,,,,"£56,397.00",,"£1,30,191.00",,412,0.95,£570.00,"£15,46,586.05",£2.00,£2.00,£120.00,-£122.39,-32.41%,£55.50,-£24.48,£0.00,-29
1,4,PHEONIX,,76000,,39000,,,,,1.74%,,1.57%,,,,,"£22,000.00",,"£31,000.00",,,,2421,1.14,£680.00,"£11,90,004.13",£30.00,£30.00,£99.70,-£122.05,-32.29%,£44.27,-£24.41,£0.00,-1.81
1,5,Oryx,,60000,,32000,,,,,1.37%,,1.29%,,,,,"£28,148.00",,"£51,200.00",,,,2172,1.02,£720.00,"£15,31,896.87",£0.00,£0.00,£182.00,£419.62,45.63%,£473.83,£83.92,£0.00,5.65
1,6,Antelope Motors,70000,,,45000,,,,1.28%,,,1.81%,,,,"£22,500.00",,,"£46,500.00",,,,4000,0.67,£500.00,"£9,16,875.00",£10.00,£10.00,£380.00,£460.39,47.94%,£504.76,£92.08,£0.00,5.43
1,7,V6 Motors,75000,,,68070,,,,1.37%,,,2.73%,,,,"£24,000.00",,,"£48,000.00",,,,3800,0.92,£650.00,"£13,33,515.79",£220.00,£220.00,£945.00,£143.35,100.00%,£94.53,£28.67,£100.00,3.3
1,8,ALDMAN,60000,46151,,,,,,1.10%,1.05%,,,,,,"£22,000.00","£33,000.00",,,,,,2300,1.11,£720.00,"£12,36,079.57",£70.00,£70.00,£64.00,£121.05,19.49%,£243.42,£24.21,£0.00,10.05
1,9,Velocity,0,0,,,,,,0.00%,0.00%,,,,,,"£28,074.00","£36,932.00",,,,,,2000,0.9,£500.00,£0.00,£10.00,£10.00,£221.00,-£532.27,0.00%,£1.00,-£106.45,£0.00,-0.01
2,1,RainbowSix,,57000,,26000,,,,,1.25%,,1.02%,,,,,"£46,950.00",,"£63,195.00",,,,706,2.82,£700.00,"£61,17,875.35",£26.29,£156.09,£677.48,£599.74,35.95%,£716.73,£119.95,£0.00,5.98
2,2,MerseyAuto,,18000,,25000,,9000,,,0.39%,,0.98%,,1.43%,,,"£33,999.00",,"£43,999.00",,"£1,19,999.00",,1355,1.35,£700.00,"£20,60,478.23",£40.00,£47.00,£499.99,-£117.64,0.00%,£1.00,-£23.53,£0.00,-0.04
2,3,REV,,,,60000,,1438,,,,,2.36%,,0.23%,,,,,"£58,420.00",,"£1,26,811.00",,1563,1.03,£610.00,"£23,59,275.23",£5.00,£7.00,£980.00,£244.03,39.26%,£257.35,£48.81,£0.00,5.27
2,4,PHEONIX,,100000,,70000,,,,,2.19%,,2.75%,,,,,"£25,000.00",,"£33,000.00",,,,3402,1.2,£700.00,"£14,13,874.19",£100.94,£130.94,£220.00,£157.03,29.35%,£181.90,£31.41,£0.00,5.79
2,5,Oryx,55000,55000,,20000,,,,0.94%,1.20%,,0.79%,,,,,"£31,000.00",,"£47,000.00",,,,3060,1,£650.00,"£12,50,816.99",£0.00,£0.00,£250.00,£328.81,26.34%,£525.55,£65.76,£0.00,7.99
2,6,Antelope Motors,94000,,,69500,,,,1.61%,,,2.73%,,,,"£24,000.00",,,"£50,000.00",,,,4000,0.96,£700.00,"£14,32,750.00",£20.00,£30.00,£520.00,£932.27,51.29%,£959.20,£186.45,£15.00,5.14
2,7,V6 Motors,75000,,,64930,,,,1.28%,,,2.55%,,,,"£36,000.00",,,"£57,000.00",,,,3950,0.8,£680.00,"£16,20,508.86",£250.00,£470.00,"£1,215.00",£802.13,84.27%,£597.30,£158.40,£0.00,3.77
2,8,ALDMAN,55072,48209,,,,,,0.94%,1.06%,,,,,,"£22,000.00","£33,000.00",,,,,,2400,1.11,£720.00,"£11,67,700.42",£0.00,£70.00,£64.00,£76.77,11.00%,£237.19,£15.35,£0.00,15.45
2,9,Velocity,50842,65555,,,,,,0.87%,1.44%,,,,,,"£26,999.00","£31,999.00",,,,,,1100,0.83,£500.00,"£31,54,888.73",£10.20,£20.20,£441.00,£218.52,117.33%,£165.08,£43.70,£0.00,3.78
3,1,RainbowSix,57000,90000,,52081,,,,1.01%,2.03%,,2.15%,,,,"£36,185.00","£45,675.00",,"£60,845.00",,,,1399,3.52,£700.00,"£66,77,743.71",£285.20,£441.29,£899.35,"£1,994.57",54.45%,"£1,831.48",£398.91,£0.00,4.59
3,2,MerseyAuto,,45000,,50000,,13996,,,1.01%,,2.06%,,2.45%,,,"£33,999.00",,"£43,999.00",,"£1,14,999.00",,3490,1.11,£700.00,"£15,29,922.92",£50.00,£97.00,£499.99,£49.71,0.00%,£1.00,£9.94,£0.00,0.1
3,3,REV,60000,,,67000,,5000,,1.06%,,,2.76%,,0.87%,,"£30,790.00",,,"£57,704.00",,"£1,33,324.00",,2744,1.29,£670.00,"£23,25,127.24",£20.00,£27.00,"£1,657.00",£422.65,40.47%,£459.19,£84.53,£0.00,5.43
3,4,PHEONIX,,149400,,68608,,,,,3.36%,,2.83%,,,,,"£30,500.00",,"£40,500.00",,,,3402,1.58,£710.00,"£21,56,179.89",£50.00,£180.94,£310.00,£452.75,45.84%,£419.75,£90.55,£0.00,4.64
3,5,Oryx,50000,55000,,37500,,,,0.88%,1.24%,1.18%,1.54%,,,,"£25,000.00","£31,000.00","£38,000.00","£55,000.00",,,,3820,1.21,£600.00,"£18,34,738.22",£80.00,£80.00,£600.00,£727.65,36.82%,£874.50,£145.53,£0.00,6.01
3,6,Antelope Motors,90000,,,63769,,,,1.59%,,,2.63%,,,,"£25,000.00",,,"£52,000.00",,,,3440,1.06,£700.00,"£16,18,019.77",£20.00,£50.00,£790.00,£395.11,20.03%,£722.61,£79.02,£48.00,9.14
3,7,V6 Motors,94000,94000,,83000,,,,1.66%,2.12%,,3.42%,,,,"£25,999.00","£40,000.00",,"£46,000.00",,,,4000,1.6,£680.00,"£25,05,476.50",£85.00,£555.00,"£1,380.00",£632.21,58.66%,£556.54,£124.84,£100.00,4.46
3,8,ALDMAN,54928,44650,,,,,,0.97%,1.01%,,,,,,"£22,000.00","£33,000.00",,,,,,2500,0.98,£670.00,"£10,72,746.40",£5.00,£75.00,£62.00,-£183.28,-35.62%,£66.07,-£36.66,£0.00,-1.8
3,9,Velocity,56100,74100,,,,,,0.99%,1.67%,,,,,,"£27,999.00","£32,999.00",,,,,,3000,1.01,£600.00,"£13,38,656.60",£25.00,£45.00,£559.00,£134.17,41.87%,£86.21,£26.83,£0.00,3.21
4,1,RainbowSix,64650,90000,,44512,,,,1.27%,2.18%,,1.97%,,,,"£38,475.00","£47,100.00",,"£65,845.00",,,,1410,3.5,£700.00,"£68,49,149.92",£39.20,£480.49,£982.24,"£1,923.57",34.43%,"£2,345.21",£384.71,£0.00,6.1
4,2,MerseyAuto,,90000,,55500,,12596,,,2.18%,,2.46%,,2.56%,,,"£34,999.00",,"£43,999.00",,"£1,24,999.00",,3560,1.39,£700.00,"£20,13,017.39",£50.00,£147.00,£499.99,-£505.20,0.00%,£1.00,-£101.04,£0.00,-0.01
4,3,REV,69956,56495,,71860,,7836,,1.37%,1.37%,,3.18%,,1.59%,,"£31,645.00","£42,799.00",,"£57,422.00",,"£1,37,363.00",,3028,1.84,£700.00,"£32,47,811.70",£180.00,£207.00,"£2,453.00",£493.60,32.10%,£629.75,£98.72,£0.00,6.38
4,4,PHEONIX,,79389,,61252,,,,,1.92%,,2.71%,,,,,"£37,800.00",,"£45,900.00",,,,3108,1.58,£715.00,"£18,70,132.24",£60.00,£240.00,£300.00,£580.06,37.00%,£637.69,£116.01,£0.00,5.5
4,5,Oryx,80598,79981,68612,50366,,,,1.58%,1.91%,1.66%,2.23%,,,,"£32,000.00","£37,500.00","£41,000.00","£58,000.00",,,,3924,1.67,£600.00,"£28,73,405.58",£290.00,£370.00,"£1,100.00","£1,285.11",39.41%,"£1,444.41",£257.02,£0.00,5.62
4,6,Antelope Motors,85000,65000,,63545,,,,1.67%,1.57%,,2.81%,,,,"£27,000.00","£38,000.00",,"£53,000.00",,,,4000,1.25,£700.00,"£20,33,221.25",£120.00,£170.00,"£1,220.00",£867.52,31.72%,"£1,141.05",£173.50,£21.00,6.58
4,7,V6 Motors,88161,97300,64666,85750,,,,1.73%,2.35%,1.56%,3.79%,,,,"£35,000.00","£44,000.00","£45,000.00","£50,000.00",,,,4000,1.99,£680.00,"£36,41,076.25",£60.00,£615.00,"£1,890.00","£2,215.04",81.66%,"£1,753.60",£433.47,£120.00,4.05
4,8,ALDMAN,39598,29233,,,,,,0.78%,0.71%,,,,,,"£25,000.00","£35,000.00",,,,,,2185,0.9,£680.00,"£9,21,329.52",£5.00,£80.00,£124.00,-£166.04,-47.64%,£2.89,-£33.21,£0.00,-0.09
4,9,Velocity,100000,130000,,40323,,,,1.96%,3.14%,,1.78%,,,,"£29,999.00","£36,799.00",,"£49,999.00",,,,4000,1.62,£800.00,"£24,49,969.92",£100.00,£145.20,£883.00,£826.97,72.07%,£624.07,£165.39,£0.00,3.77
5,1,RainbowSix,73624,62000,65000,38132,,,,1.72%,1.72%,1.81%,1.90%,,,,"£34,710.00","£48,000.00","£39,715.00","£69,000.00",,,,1790,2.97,£750.00,"£60,02,274.88",£39.20,£519.69,"£1,388.10","£1,302.90",19.33%,"£2,550.48",£260.58,£30.00,9.79
5,2,MerseyAuto,,93000,,56500,,12834,,,2.59%,,2.81%,,3.04%,,,"£35,999.00",,"£44,999.00",,"£1,19,999.00",,3519,1.43,£700.00,"£21,11,513.97",£20.00,£167.00,£850.01,"-£1,092.82",0.00%,£1.00,-£218.56,£0.00,0
